type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
ProductionPreparedOutputPhysicalRouteSliceReceipt,struct,Assets/Scripts/Models/Production/Core/ProductionPreparedOutputRoutingContracts.cs,539,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,embedded detail row of a parent receipt; its parent receipt is the replacement authority,NonResult,embedded detail row of a parent receipt; its parent receipt is the replacement authority,N/A,excluded,embedded detail row of a parent receipt; its parent receipt is the replacement authority,4,Assets/Scripts/Services/Economy/ProductionPreparedOutputExactRouteLifecycle.cs:246:ProductionPreparedOutputExactRouteLifecycle.ProductionPreparedOutputPhysicalRouteSliceReceipt | Assets/Scripts/Services/Economy/ProductionPreparedOutputRoutingAuthority.cs:919:ProductionPreparedOutputRoutingAuthority.<unknown> | Assets/Scripts/Services/Economy/ProductionPreparedOutputRoutingAuthority.cs:1973:ProductionPreparedOutputRoutingAuthority.<unknown> | Assets/Scripts/Services/Economy/ProductionPreparedOutputRoutingRestoreJoin.cs:298:ProductionPreparedOutputRoutingRestoreJoin.ProductionPreparedOutputRouteRestoreAcknowledgement,0,0,itemId | sourceOffsetQuantity | sourceStackId,routedMassGrams | routedOffsetQuantity | routedQuantity | sourceOffsetQuantity,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Models/Production/Core/ProductionPreparedOutputRoutingContracts.cs | Assets/Scripts/Services/Economy/ProductionPreparedOutputRoutingAuthority.cs | Assets/Scripts/Services/Economy/ProductionPreparedOutputRoutingRestoreJoin.cs,
ProductionProcessFluidReceipt,struct,Assets/Scripts/Models/Production/Core/ProductionBillModels.cs,1180,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ProductionProcessFluidReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Models/Production/Core/ProductionAggregateState.cs:424:ProductionBillRecord.CaptureProcessFluidReceipt | Assets/Scripts/Services/Economy/ProductionCycleUtilityService.cs:289:ProductionCycleUtilityService.List,0,0,,cleanWaterMassGrams | wastewaterMassGrams,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Models/Economy/Content/ProductionAssemblyBridge.cs | Assets/Scripts/Models/Economy/Content/ProductionBillRuntime.cs | Assets/Scripts/Services/Economy/ProductionAssemblyBridgeAdapter.cs | Assets/Scripts/Services/Economy/ProductionCycleUtilityService.cs,
ProductionRecipeExecutionOutputLineReceipt,class,Assets/Scripts/Models/Production/Core/ProductionRecipeExecutionReceiptContracts.cs,159,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,embedded detail row of a parent receipt; its parent receipt is the replacement authority,NonResult,embedded detail row of a parent receipt; its parent receipt is the replacement authority,N/A,excluded,embedded detail row of a parent receipt; its parent receipt is the replacement authority,2,Assets/Scripts/Services/Economy/ProductionRecipeExecutionReceiptAuthority.cs:333:ProductionRecipeExecutionReceiptAuthority.ProductionRecipeExecutionReceiptAuthority | Assets/Scripts/Services/Economy/ProductionRecipeExecutionReceiptAuthority.cs:592:ProductionRecipeExecutionReceiptAuthority.<unknown>,0,0,itemId,massGrams | quantity,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Models/Production/Core/ProductionRecipeExecutionReceiptContracts.cs | Assets/Scripts/Services/Economy/ProductionOutputClearanceNaturalMeasurementHandler.cs,
ProductionRecipeExecutionPhysicalSliceReceipt,class,Assets/Scripts/Models/Production/Core/ProductionRecipeExecutionReceiptContracts.cs,249,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,embedded detail row of a parent receipt; its parent receipt is the replacement authority,NonResult,embedded detail row of a parent receipt; its parent receipt is the replacement authority,N/A,excluded,embedded detail row of a parent receipt; its parent receipt is the replacement authority,2,Assets/Scripts/Services/Economy/ProductionRecipeExecutionReceiptAuthority.cs:345:ProductionRecipeExecutionReceiptAuthority.ProductionRecipeExecutionReceiptAuthority | Assets/Scripts/Services/Economy/ProductionRecipeExecutionReceiptAuthority.cs:603:ProductionRecipeExecutionReceiptAuthority.ProductionRecipeExecutionPhysicalSliceReceipt,0,0,itemId,massGrams | quantity,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Models/Production/Core/ProductionRecipeExecutionReceiptContracts.cs | Assets/Scripts/Services/Economy/ProductionOutputClearanceNaturalMeasurementHandler.cs,
ProductionRecipeExecutionReceipt,class,Assets/Scripts/Models/Production/Core/ProductionRecipeExecutionReceiptContracts.cs,303,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ProductionRecipeExecutionReceipt is a result-bearing class carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Economy/ProductionRecipeExecutionReceiptAuthority.cs:354:ProductionRecipeExecutionReceiptAuthority.ProductionRecipeExecutionReceiptAuthority | Assets/Scripts/Services/Economy/ProductionRecipeExecutionReceiptAuthority.cs:611:ProductionRecipeExecutionReceiptAuthority.ProductionRecipeExecutionPhysicalSliceReceipt,0,0,,outcomeFingerprint | wipInputMassGrams | wipInputQuantity,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Models/Production/Core/ProductionRecipeExecutionReceiptContracts.cs | Assets/Scripts/Services/Economy/ProductionOutputClearanceNaturalMeasurementHandler.cs,
ProductionStockSensorPhysicalReceipt,struct,Assets/Scripts/Models/Production/Core/ProductionBillModels.cs,1455,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ProductionStockSensorPhysicalReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Economy/ProductionItemGateway.cs:148:ProductionStockSensorPhysicalGateway.Map,0,0,sourceStackIds,inputMassGrams | inputQuantity,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Models/Economy/Content/ProductionAssemblyBridge.cs | Assets/Scripts/Models/Economy/Content/ProductionStockSensorRuntime.cs | Assets/Scripts/Services/Economy/ProductionAssemblyBridgeAdapter.cs | Assets/Scripts/Services/Economy/ProductionItemGateway.cs,
ProductionStockSensorRemovalReceipt,struct,Assets/Scripts/Models/Production/Core/ProductionBillModels.cs,1410,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ProductionStockSensorRemovalReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Economy/ProductionStockSensorRemovalOutputGateway.cs:47:ProductionStockSensorRemovalOutputGateway.Dictionary,0,0,,outputMassGrams | outputQuantity,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Models/Economy/Content/ProductionStockSensorRuntime.cs,
ProductionWipInputReceipt,struct,Assets/Scripts/Models/Production/Core/ProductionBillModels.cs,1270,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ProductionWipInputReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Economy/ProductionItemGateway.cs:431:ProductionItemGateway.ProductionItemGateway,0,0,sourceStackIds,inputMassGrams | quantity,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Models/Economy/Content/ProductionAssemblyBridge.cs | Assets/Scripts/Models/Economy/Content/ProductionBillRuntime.cs | Assets/Scripts/Services/Economy/CropPlotRuntime.cs | Assets/Scripts/Services/Economy/ProductionAssemblyBridgeAdapter.cs | Assets/Scripts/Services/Economy/ProductionItemGateway.cs | Assets/Scripts/Services/Offense/Strategic/OffenseUrgentMitigationRuntime.cs,
ProductQualityResolvedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,259,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ProductQualityResolvedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Combat/CombatEquipmentCraftingRuntime.cs:1031:CombatEquipmentCraftingRuntime.<unknown> | Assets/Scripts/Services/Infrastructure/Environment/ApparelWorkOrderRuntime.cs:1695:AuthorityState.<unknown>,2,1,,day | quality,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Combat/CombatEquipmentCraftingRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/ApparelWorkOrderRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
RegionalSupplyDeliveryTransferReceipt,class,Assets/Scripts/Models/Economy/Content/ResourceEconomyPlanningModels.cs,386,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"RegionalSupplyDeliveryTransferReceipt is a result-bearing class carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Models/Economy/Content/ResourceEconomyPlanningModels.cs:394:RegionalSupplyDeliveryTransferReceipt.Clone | Assets/Scripts/Services/Economy/Planning/RegionalSupplyContractApplicationAdapter.cs:309:RegionalSupplyContractApplicationAdapter.ToContractReceipt,0,0,,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,Assets/Scripts/Models/Economy/Content/RegionalSupplyContractRuntime.cs | Assets/Scripts/Models/Economy/Content/ResourceEconomyPlanningModels.cs | Assets/Scripts/Services/Economy/Planning/RegionalSupplyContractApplicationAdapter.cs,
ResearchOutcomeEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,331,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ResearchOutcomeEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:348:BlueprintResearchRuntime.<unknown>,1,1,researcher,day | outcomeId,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
ResearchProgressEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,317,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,incremental work/progress signal; record the completed research result and compacted progress metrics instead,NonResult,incremental work/progress signal; record the completed research result and compacted progress metrics instead,N/A,excluded,incremental work/progress signal; record the completed research result and compacted progress metrics instead,1,Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:330:BlueprintResearchRuntime.<unknown>,1,1,researcher,approvedWork | day | progressDelta,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
ReservedRetailStockTransferReceipt,class,Assets/Scripts/Services/Items/ItemTransferService.cs,283,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ReservedRetailStockTransferReceipt is a result-bearing class carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Items/ItemTransferService.cs:3680:in.<unknown>,0,0,,,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs | Assets/Scripts/Services/Items/ItemTransferService.cs,
ResourceStockPolicySaleTransferReceipt,class,Assets/Scripts/Models/Economy/Content/ResourceEconomyPlanningModels.cs,320,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ResourceStockPolicySaleTransferReceipt is a result-bearing class carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Models/Economy/Content/ResourceEconomyPlanningModels.cs:328:ResourceStockPolicySaleTransferReceipt.Clone | Assets/Scripts/Services/Economy/Planning/ResourceStockPolicyRuntime.cs:1129:ResourceStockPolicyRuntime.ToSaleReceipt,0,0,,,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,Assets/Scripts/Models/Economy/Content/ResourceEconomyPlanningModels.cs | Assets/Scripts/Services/Economy/Planning/ResourceStockPolicyRuntime.cs,
RestOutcomeIdentityEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,227,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"RestOutcomeIdentityEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/Core/CharacterStats.cs:326:CharacterStats.DelegatingControlledDictionaryStore,1,1,character,day,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/Core/CharacterStats.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
RoomConditionChangedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,537,pre-existing-runtime-candidate,7,환경·농업·야생동물·질병·재난,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"RoomConditionChangedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Infrastructure/Rooms/RoomEnvironmentExperienceAdapter.cs:184:RoomEnvironmentExperienceService.RoomEnvironmentExperienceService,1,1,,day,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterEnvironmentSaveSection | CropEcologySaveSection | CropPlotSaveSection | EnvironmentalFieldSaveSection | EnvironmentalFireSaveSection | PopulationHealthSaveSection | WildlifeSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Infrastructure/Rooms/RoomEnvironmentExperienceAdapter.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
RoomEnvironmentExperienceEvent,struct,Assets/Scripts/Services/Infrastructure/Rooms/RoomEnvironmentExperienceAdapter.cs,13,pre-existing-runtime-candidate,7,환경·농업·야생동물·질병·재난,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"RoomEnvironmentExperienceEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Character/Core/CharacterBuildingVisitorPort.cs:499:CharacterBuildingVisitorAdapter.ConsumableOperationId | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:934:WorkTaskExecutor.CharacterId,0,0,actor | facility,workTypeId,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterEnvironmentSaveSection | CropEcologySaveSection | CropPlotSaveSection | EnvironmentalFieldSaveSection | EnvironmentalFireSaveSection | PopulationHealthSaveSection | WildlifeSaveSection,,Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs | Assets/Scripts/Services/Infrastructure/Rooms/RoomEnvironmentExperienceAdapter.cs,
RunResultReadyEvent,struct,Assets/Scripts/Models/Meta/Core/MetaProgressionEvents.cs,4,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,derived run-result readiness notification; record the committed run end and reward results instead,NonResult,derived run-result readiness notification; record the committed run end and reward results instead,N/A,excluded,derived run-result readiness notification; record the committed run end and reward results instead,2,Assets/Scripts/Services/Infrastructure/Core/MetaProgressionRuntime.cs:104:MetaProgressionRuntime.<unknown> | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs:84:MetaRuntimeApplicationAdapter.MetaRuntimeApplicationAdapter,1,1,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,
RunStartVariablesSelectedEvent,struct,Assets/Scripts/Models/Run/Core/RunVariableEvents.cs,16,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"RunStartVariablesSelectedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Run/RunVariableSystem.cs:111:RunVariableRuntime.<unknown>,1,1,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,Assets/Scripts/Services/FacilityShop/DailyFacilityShopRuntime.cs,
RunVariableActivatedEvent,struct,Assets/Scripts/Models/Run/Core/RunVariableEvents.cs,26,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"RunVariableActivatedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Run/RunVariableSystem.cs:172:RunVariableRuntime.<unknown>,1,0,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,,
RunVariableExpiredEvent,struct,Assets/Scripts/Models/Run/Core/RunVariableEvents.cs,36,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"RunVariableExpiredEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Run/RunVariableSystem.cs:148:RunVariableRuntime.<unknown>,1,0,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,,
SettlementActiveIncidentsChangedEvent,struct,Assets/Scripts/Services/Character/Work/SettlementAlertContracts.cs,145,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,derived settlement-alert invalidation notification,NonResult,derived settlement-alert invalidation notification,N/A,excluded,derived settlement-alert invalidation notification,1,Assets/Scripts/Services/Character/Work/SettlementAlertRuntime.cs:637:SettlementAlertRuntime.SettlementSuspendedWorkSnapshot,1,1,,activeIncidentCount,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Character/AI/CharacterAlarmResponseRuntime.cs,
SettlementCommittedAlertChangedEvent,struct,Assets/Scripts/Services/Character/Work/SettlementAlertContracts.cs,125,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,derived settlement-alert invalidation notification,NonResult,derived settlement-alert invalidation notification,N/A,excluded,derived settlement-alert invalidation notification,2,Assets/Scripts/Services/Character/Work/SettlementAlertRuntime.cs:523:SettlementAlertRuntime.SettlementSuspendedWorkSnapshot | Assets/Scripts/Services/Character/Work/SettlementAlertRuntime.cs:561:SettlementAlertRuntime.SettlementSuspendedWorkSnapshot,2,1,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Character/AI/CharacterAlarmResponseRuntime.cs,
